ID,en,de
k_options,Options,Optionen
k_credits,Credits,Kredite
k_shop,Shop,Laden
k_cards,Cards,Karten
k_ads,Ads,Anzeigen
k_bakery,Bakery,Bäckerei
k_ice_cream_shop,Ice Cream Shop,Eisdiele
k_clothing_store,Clothing Store,Bekleidungsgeschäft
k_meat_shop,Meat Shop,Fleischerei
k_firness_gym,Fitness Gym,Fitnessraum
k_level,Level,Niveau
k_improve,Improve,verbessern
k_business_improvement,Business Improvement,Geschäftliche Verbesserung
k_employee_benefits,Employee Benefits,Sozialleistungen für Arbeitnehmer
k_marketing,Marketing,Marketing
k_finance,Finance,finanzieren
k_language,Language,Sprache
k_tap_to_play,Tap to play!,Zum Abspielen tippen!
k_business,Business,Geschäft
k_buy,Buy,Kaufen
k_close,Close,Schließen